40,2,1,86872,25,9,0
40,2,1,259323,54,10,1
40,2,1,256813,43,14,1
70,2,1,118793,51,13,1
40,2,2,398918,28,9,0
42,2,0,103024,54,9,1
55,2,1,232356,33,9,0
30,2,1,175643,37,9,0
40,2,1,121201,41,9,0
70,2,1,60783,24,10,1
50,2,1,347653,41,15,1
40,2,1,97153,26,12,1
35,2,1,133766,26,7,0
40,2,1,178319,45,13,1
40,2,1,231348,40,9,0
40,2,2,97261,19,8,0
60,4,1,186359,37,9,1
50,2,1,187450,27,13,0
75,2,1,185041,46,9,1
50,2,1,211531,44,10,0
38,2,0,193775,48,13,1
40,2,1,214858,27,9,0
40,2,1,155107,47,9,0
48,0,1,122215,42,9,1
55,2,2,205152,33,11,1
60,2,1,154374,40,15,1
50,3,1,113544,60,13,1
84,4,1,177271,59,15,1
24,1,1,254218,68,11,0
40,2,1,144514,49,9,0
40,5,2,206520,36,13,0
40,2,2,44047,19,9,0
40,2,1,31621,50,9,1
55,2,1,199227,34,10,0
40,2,1,255979,27,13,0
40,3,1,115932,44,14,0
40,2,2,218329,46,10,0
40,2,1,196373,37,9,1
35,2,2,298227,20,10,0
40,2,1,303092,38,9,0
50,2,1,280966,37,10,1
40,2,1,331395,36,11,0
40,2,1,80933,34,9,0
10,3,2,354104,19,10,0
40,2,0,538443,37,9,1
45,5,1,195253,39,15,1
30,2,2,118023,24,10,0
45,2,1,245372,38,13,1
40,5,0,106728,52,12,0
40,5,1,176863,46,9,0
40,2,1,55291,30,13,1
45,2,1,105803,37,9,1
40,3,1,33308,31,11,0
40,1,0,42596,32,13,0
40,5,2,151382,27,9,0
50,2,0,129764,38,10,0
60,2,1,138251,51,9,0
40,2,2,181572,19,10,0
35,4,1,51646,81,10,1
40,2,1,126540,23,6,0
30,2,2,571853,19,9,0
40,2,1,416745,36,13,0
60,2,1,193042,33,9,1
40,2,2,155066,24,11,0
40,2,1,107812,27,13,1
40,1,1,36924,41,10,1
45,5,1,225913,57,10,1
40,2,1,105363,56,13,0
50,5,1,213668,47,15,1
40,2,2,182556,33,9,0
40,2,2,115892,22,7,0
70,5,1,96459,55,6,1
40,2,1,200471,47,11,0
55,3,1,199227,32,13,0
10,2,2,131230,21,10,0
40,0,1,60267,45,9,1
50,2,1,205680,40,14,0
40,2,1,313956,24,13,1
40,2,1,81548,50,9,0
40,2,2,99970,24,13,0
40,0,1,153614,34,12,0
80,0,1,260549,46,10,1
40,2,2,142566,23,9,0
10,2,1,104996,55,4,0
40,2,1,67716,47,9,1
20,2,2,91819,20,10,0
38,1,2,194360,43,14,0
40,2,2,428251,38,10,0
40,3,0,192323,46,9,0
40,2,1,313729,32,9,0
25,2,2,108501,18,10,0
70,5,1,130957,57,16,1
40,2,1,265661,64,9,0
40,2,2,213644,19,9,0
40,2,1,101299,47,9,0
40,2,1,44368,50,10,0
10,3,2,142766,21,10,0
30,3,0,108320,36,14,0
50,2,1,227791,45,10,0
40,2,1,104724,55,16,1
50,4,1,30529,37,13,1
70,2,1,231053,22,7,1
60,2,1,177675,31,10,1
40,5,1,73134,52,13,1
40,2,1,457237,54,14,0
25,2,0,57929,46,9,0
40,5,1,287037,41,9,0
25,2,1,172991,53,10,0
48,4,1,163921,50,9,1
40,2,1,155475,33,9,0
65,2,2,133696,28,13,0
50,5,0,51916,56,9,1
40,2,1,201495,41,14,1
75,5,1,41210,33,13,0
40,1,1,154874,33,10,0
70,3,1,33331,43,15,1
40,2,0,170017,34,9,0
60,2,0,184477,28,11,0
40,2,1,110931,27,9,0
40,2,2,326587,23,9,0
40,2,1,257609,45,13,1
40,2,2,162688,20,11,0
40,2,1,158363,36,8,0
35,2,2,174714,21,12,0
40,2,1,145441,41,9,1
50,2,2,246449,35,9,0
40,2,1,272950,37,9,0
40,2,1,84726,47,10,0
50,2,1,156667,36,13,1
40,1,2,36489,50,6,0
40,2,2,227282,34,10,0
40,0,1,20795,51,9,1
40,2,1,162825,62,9,1
50,3,1,229465,53,16,1
40,2,1,107164,39,9,1
50,1,1,115488,33,13,0
40,5,2,33308,30,9,0
40,2,1,162944,51,9,0
35,5,1,163174,61,15,1
40,2,1,153870,51,9,1
40,2,1,140644,45,9,0
45,2,1,32000,44,13,0
40,2,2,117915,43,14,0
65,2,1,91039,38,14,1
40,2,1,225456,45,13,1
40,2,1,173422,55,10,0
40,3,1,120173,52,4,0
40,2,2,120450,25,9,0
50,2,1,94235,30,13,1
47,2,1,162238,51,14,1
40,2,0,337778,39,10,0
45,1,1,51240,38,13,0
20,2,2,244523,17,6,0
48,2,2,190539,29,13,0
40,2,0,484024,36,9,0
24,2,2,149809,21,9,0
40,2,1,111483,40,13,1
40,2,0,241126,36,10,0
60,2,1,154950,30,10,1
40,2,2,346159,25,9,0
45,2,0,174575,43,13,1
40,5,2,322238,29,9,0
40,4,1,272896,70,16,1
40,2,0,116445,36,9,0
50,2,1,169815,29,12,1
40,2,2,34378,37,2,0
50,2,1,410114,50,15,1
38,2,0,103634,27,9,0
51,4,2,175696,40,9,0
40,2,1,201732,42,10,1
62,5,0,188246,32,9,0
40,4,1,124963,51,14,1
75,5,1,23500,31,9,0
45,2,1,37646,32,10,0
18,2,2,71691,19,7,0
40,1,1,234096,34,12,1
40,1,1,310085,58,9,1
48,2,0,230883,33,10,1
50,2,1,264357,59,6,0
40,2,1,187440,47,9,1
25,2,2,184655,40,12,0
40,2,2,123291,34,6,0
70,2,1,103743,48,10,0
40,2,1,188081,47,9,1
42,2,1,53833,26,10,0
40,2,2,226181,21,13,0
45,2,2,180138,43,9,0
45,2,1,162632,50,9,0
50,2,0,217120,40,6,0
50,2,1,180985,40,14,1
40,2,1,419691,32,8,1
40,2,1,326857,47,11,0
25,2,2,41879,18,9,0
98,5,1,26904,63,9,0
40,5,1,198841,37,7,0
60,3,2,341643,38,12,0
45,5,1,84119,32,9,0
40,2,1,37237,54,13,1
50,2,1,98725,58,16,1
30,2,2,149224,21,10,0
35,1,1,218490,37,9,1
40,2,2,269354,29,10,0
45,2,1,102058,55,6,0
50,5,2,103432,29,9,0
45,2,1,123992,60,10,0
50,5,1,98061,42,11,0
40,2,1,339905,51,9,1
60,2,1,33394,38,9,0
40,2,1,116391,41,13,1
40,4,1,293196,50,9,1
60,4,1,56248,62,13,1
40,5,2,254989,28,7,0
50,2,0,408717,44,9,0
40,2,2,179627,24,9,0
32,2,1,506858,34,11,1
50,2,2,38772,20,6,0
40,2,0,140583,36,9,0
46,2,2,99543,23,8,0
46,2,1,169823,41,15,1
50,2,1,383493,42,10,1
50,2,1,144778,40,9,1
30,1,1,105161,38,13,0
45,2,1,336513,44,10,0
